	CRA	GKS	GKŁ	GÓR	JAG	KOR	LPO	LGD	LEG	PIA	POD	POG	RCH	ŚLĄ	WIS	ZAW
CRA	x	5114	5624	5146	4563	7192	9151	6143	8306	5428	6143	6355	6112	8156	14114	5234
GKS	2670	x	2154	2830	2513	3100	4085	3314	4765	3200	2537	3067	3218	3500	3445	2738
GKŁ	3498	4053	x	3285	5288	3302	6143	4033	7000	3043	3192	3568	3500	6302	4749	2532
GÓR	3000	2650	3000	x	3000	3000	3000	3000	3000	3000	2648	3000	3000	3000	3000	3000
JAG	6780	12307	10138	7185	x	15359	7435	5782	7435	8881	5775	21196	10068	6435	11784	6513
KOR	5368	4541	5878	6582	4610	x	7401	5769	11006	4665	6142	5741	7686	7918	7089	5799
LPO	14884	18717	14882	12749	18253	24308	x	16029	41545	0	12991	13174	16672	22175	16264	11078
LGD	12510	9851	23990	12493	8805	8991	25529	x	36500	7619	14641	13141	14293	13966	14363	15624
LEG	12510	8699	10334	12351	20633	12729	25934	18171	x	11380	12690	13958	12938	16242	26096	16603
PIA	4100	2909	3852	8102	3829	4288	5173	4458	7714	x	4644	3503	5111	5007	5450	3292
POD	4568	3200	3204	3250	4034	4845	5632	3250	3500	3250	x	3250	3201	3200	6188	3037
POG	4354	3384	4484	7826	4851	3214	9684	5284	8324	7583	4214	x	5829	7377	8548	6128
RCH	5877	5560	799	8750	4125	4257	7398	5568	9284	6650	3465	5562	x	5360	6827	6248
ŚLĄ	8151	7315	11171	9793	9097	7669	22687	11651	21005	14746	8149	8296	10180	x	14791	6839
WIS	23307	16832	10032	12013	11244	10079	17263	6016	31635	4277	10709	9083	5783	14242	x	7952
ZAW	4820	2000	1210	1682	2873	2998	4893	1543	4587	1295	1873	4283	2123	1247	2653	x
