	CRA	GKŁ	GÓR	JAG	KOR	LPO	LGD	LEG	PIA	POD	POG	RCH	ŚLĄ	TBB	WIS	ZAG	
CRA	X	8091	9106	8125	7834	8236	6367	14000	7416	6486	8133	6235	6438	7425	12933	8605	
GKŁ	4009	X	3824	3816	3833	6247	3734	7437	4251	3194	3479	3604	3562	3809	5311	3011	
GÓR	5520	4325	X	5520	6498	12453	12586	8570	5487	6321	11885	24563	5152	8325	6122	4520	
JAG	7630	8516	6734	X	7120	19177	11195	22172	8523	10132	6887	12758	8100	10653	10120	11055	
KOR	8368	5716	8467	6939	X	6780	5103	9136	5796	5404	7096	8308	5459	6543	8531	4331	
LPO	24813	23197	15467	14366	13134	X	13821	41567	17456	11902	15131	15783	17697	17148	13279	14562	
LGD	13143	12193	10987	11411	11170	14260	X	19285	11106	9587	11173	19368	8827	12223	9527	10796	
LEG	17343	8181	23358	25675	16348	26821	28207	X	21197	13082	14780	24022	17875	14153	26007	14281	
PIA	6006	5359	7005	5431	6002	7552	5877	7310	X	4584	5164	8073	4510	4058	8909	5211	
POD	4921	3828	6222	3528	4652	4520	5035	6368	4598	X	4770	5372	3543	6359	6517	4078	
POG	8115	6362	5126	7582	5124	9234	3214	14348	8811	3562	X	4345	8658	6348	8897	6214	
RCH	6701	4785	8300	7225	5316	9000	6829	9300	6125	7041	6377	X	6267	7023	9300	7971	
ŚLĄ	9347	4282	5934	7419	5580	8489	7939	12658	11444	6742	5268	7430	X	6963	13916	12443	
TBB	4595	1818	3109	2848	4536	4950	2695	4595	2613	1357	2702	2679	2106	X	4595	3209	
WIS	20094	9110	10303	11564	10357	13623	11115	20100	10082	10057	6497	13850	11503	10494	X	23079	
ZAG	6258	4175	3782	0	4219	10217	3049	8858	6874	4835	5275	6065	10482	3531	4716	X		
