	ARK	BBT	CRA	GKŁ	JAG	KOR	LPO	LGD	LEG	PIA	POG	RCH	ŚLĄ	WIS	WPŁ	ZAG	
ARK	X	1915	9436	6621	4058	5213	11514	14029	9154	7658	6512	10099	9507	10203	5505	10002	
BBT	3338	X	4595	3017	4378	3972	4595	3012	4555	3012	2084	3079	3526	4595	3851	3011	
CRA	9255	7164	X	5423	7755	8607	8117	8413	12432	7659	7824	0*	6342	14000	7448	6473	
GKŁ	2558	1505	4015	X	2817	2401	7078	3573	9248	1401	2126	1896	2606	5903	2614	2443	
JAG	16471	14392	10000	5531	X	9554	10000	17100	18765	8260	16850	13240	10736	18646	8127	10006	
KOR	7356	11999	6328	5475	6979	X	5989	4354	8477	5062	5260	7479	4505	6754	5166	4774	
LPO	39539	10453	10724	40324	10396	12025	X	31281	41026	11254	17247	20114	15943	20158	9591	16354	
LGD	28146	17140	13018	11075	15573	15386	26054	X	37220	17206	14461	15433	13574	15740	12921	16263	
LEG	16529	14163	24342	21901	13655	17962	28842	18941	X	18332	22210	17409	12173	26870	21821	14085	
PIA	4154	4726	4532	4528	4439	4002	3875	5974	8219	X	4286	7667	4252	5447	4581	4779	
POG	4312	4292	8125	4354	3486	6234	8678	6961	9328	3883	X	8397	6120	6935	3458	4494	
RCH	5029	0*	6179	5401	6587	5328	7296	7002	9010	7837	6364	X	5557	7137	6176	5325	
ŚLĄ	7314	7907	6482	7675	10715	8229	12402	13166	22004	6262	4001	8384	X	9967	6697	10778	
WIS	9132	11347	28907	10362	11210	10511	30218	9607	19477	8483	9779	12703	13607	X	12123	12411	
WPŁ	3357	3712	8127	3529	7138	6912	9750	8521	9700	3145	5620	2914	2117	7558	X	3432	
ZAG	5125	6193	6134	5212	5182	5073	8819	8317	10892	4121	6298	5479	8282	6281	5194	X	
