 	ARK	BBT	CRA	GÓR	JAG	KOR	LPO	LGD	LEG	PIA	POG	SAN	ŚLĄ	WIS	WPŁ	ZAG
ARK	X	4546	8541	7077	11097	7932	12568	14113	11762	3074	9074	5064	10083	7718	8142	7357
BBT	2155	X	2510	3519	3977	2128	4381	2148	4561	2612	1253	1658	2009	4510	919	3113
CRA	2054	6431	X	8346	7262	5661	9114	5611	2152	7609	5769	1783	450	14000	4803	2238
GÓR	22708	12234	17873	X	22708	22708	24563	20163	22708	22708	6254	13101	22708	22708	20054	12638
JAG	8787	6973	9090	11326	X	4774	12156	5942	17894	10658	4111	11399	10437	7414	14094	8375
KOR	7713	6475	7270	5791	9460	X	6853	7788	15200	5277	4812	7750	8147	7651	6069	6463
LPO	20574	8102	20692	36941	28587	20581	X	14104	36829	13783	14348	18667	4376	26361	13587	15121
LGD	22871	2235	15624	14567	15135	7066	13493	X	12021	7139	9548	11019	8313	7915	7670	9399
LEG	14433	11373	16650	24890	12939	15011	22899	18574	X	13768	18683	14397	18362	20236	13707	14941
PIA	3850	4211	4296	5579	3147	4879	4560	5140	5243	X	4555	4248	4274	3396	3784	5397
POG	3587	3146	6101	4548	8356	5595	10695	8320	6192	1611	X	4895	5524	8289	3688	2634
SAN	2646	2644	2953	1440	724	1252	2544	843	2619	682	2240	X	1341	1684	2070	312
ŚLĄ	8421	11050	8967	9960	4504	9156	22075	13495	24086	5645	12445	4406	X	21503	4207	10057
WIS	10027	11811	25523	16808	11056	4022	20053	9131	33000	10822	11398	14007	10224	X	10141	10515
WPŁ	2883	4898	899	4367	4111	4097	6511	6889	9718	2718	3111	1719	3613	5001	X	4011
ZAG	3032	2447	5219	11256	4726	3784	7629	1821	9655	6021	6086	5473	8251	8191	5178	X
