Interlocutor	Text    Acts
user	Witam. Chciałbym zarezerwować wizytę u lekrza.	(greeting()&request(appointment(type=free))
system	Proszę podać swój identyfikator.	(request(id))
user	981	(inform(id=981))
system	Prosze podać hasło	(request(password))
user	dywan	(inform(password=dywan))
system	Do jakiego lekarza specjalisty chciałby Pan umówić wizytę? (imię i nazwisko)	(request(name))
user	Mateusz Kowalski	(inform(name=Mateusz Kowalski)
system	Najbliższe wolne terminy to: Mateusz Kowalski - 14.04.2021 14:30, Mateusz Kowalski - 15.04.2021 12:00	(inform(appointment(doctor=Mateusz Kowalski;type=reserved;time=date_list[]))
user	15	(inform(date="15")
system	Czy mógłby Pan doprecyzować datę?	(request(date)
user	15.04.2021 12:00	(inform(date="15.04.2021 12:00")
system	Wizyta została zarezerwowana	(inform(reservation_accepted=True))
user	Ok dziękuję	(thanks())
system	Dziękujemy za skorzystanie z usług naszej przychodni.	(bye())
