Interlocutor	Text	Acts
user	Cześć	(greeting())
system	Witamy w systemie przychodni dr. Janet.	(greeting())
user	Chciałem zapisać się na spotkanie na jutrzejszy dzień na godziny poranne	(request(appointment(type=reservation;date=jutrzejszy dzień na godziny poranne))
system	Do jakiego specjalisty chciałby się Pan zapisać? Dostępni specjaliści: - Dentysta Katarzyna Kowalska, - Okulista Jan Kowalski	(request(doctor)&inform(doctor_list))
user	Pani doktor Kowalskiej,	inform(doctor=Kowalska)
system	Na którą godzinę? Dostępne godziny: 8.15, 11:00	(request(hour)&inform(date_list=[8:15, 11:00]))
user	na 11	inform(hour=11)
system	Proszę podać swój identyfikator w systemie.	(request(id))
user	55433	(inform(id=55433))
system	Proszę podać swoje hasło.	(request(password))
user	33455	(inform(password=33455))
system	Wizyta została zarezerowana! Dentysta Katarzyna Kowalska, 31.03.2021 11:00. Prosimy stawić się na miejscu 15 min przed wizytą	(inform(appointment(doctor=Katarzyna Kowalska;type=reserved;time=date_list[31.03.2021 11:00])))
user	Dobrze, dziękuję za rozmowę 	(bye()&thankyou())
system	Dziękujemy za skorzystanie z naszych usług 	(bye())
